No,Name,Category,URL
1,Threads,TopApps,https://privacycenter.instagram.com/policy
2,TikTok,TopApps,https://www.tiktok.com/legal/page/us/privacy-policy/en
3,Temu,TopApps,https://www.temu.com/be/privacy-and-cookie-policy.html
4,Bluesky,TopApps,https://bsky.social/about/support/privacy-policy
5,ChatGPT,TopApps,https://openai.com/en-GB/policies/row-privacy-policy/
6,Peacock TV,TopApps,https://www.peacocktv.com/terms
7,Scoopz,TopApps,https://www.scoopz.com.sg/pages/privacy-policy-scoopz
8,Walmart,TopApps,https://corporate.walmart.com/privacy-security
9,Snapchat,TopApps,https://values.snap.com/privacy/privacy-policy
10,Telegram,TopApps,https://telegram.org/privacy
11,MONOPOLY GO!,Games,https://www.scopely.com/en/legal?id=privacy&langSection=en
12,Township,Games,https://www.playrix.com/privacy/index_en.html
13,Gardenscapes,Games,https://playrix.com/privacy/index_en.html
14,Lotsa Slots - Casino Games,Games,https://spinxgames.com/privacy
15,Cash Frenzy™ - Casino Slots,Games,https://spinxgames.pactsafe.io/#cashfrenzy-privacypolicy
16,Spotify: Music and Podcasts,Android Wear,https://www.spotify.com/us/legal/privacy-policy/
17,"iHeart: Music, Radio, Podcasts",Android Wear,https://www.iheart.com/content/privacy-and-cookie-notice
18,Facer Watch Faces,Android Wear,https://www.facer.io/privacy
19,LiveOne: Stream Music & More,Android Wear,https://www.liveone.com/privacy
20,Ride with GPS: Bike Navigation,Android Wear,https://ridewithgps.com/privacy
21,"Canva: Design, Art & AI Editor",Art & Design,https://www.canva.com/policies/privacy-policy/
22,Wonder - AI Art Generator,Art & Design,https://wonderaiartgenerator.com/privacy-policy
23,Remodel AI - Home Renovation,Art & Design,https://remodelai.app/privacy-policy/
24,CreArt - AI Art Generator,Art & Design,https://waitos.github.io/creart/privacy
25,Spellai - AI Art Maker,Art & Design,https://aimirror.fun/spellai/policy
26,FIXD OBD2 Scanner,Auto & Vehicles Apps,https://www.fixdrepair.com/fixd-privacy-policy
27,OBD Auto Doctor scanner,Auto & Vehicles Apps,https://www.obdautodoctor.com/privacy/
28,Auto Sync for Android/Car Play,Auto & Vehicles Apps,https://bloomupapps.com/policy
29,HT200,Auto & Vehicles Apps,https://autel-cloud-pc-web-base-prod.autel.com/home/agreement?type=privacy
30,Bookinglane Manager,Auto & Vehicles Apps,https://www.bookinglane.com/term-of-service/
31,Booksy Biz: For Businesses,Beauty,https://biz.booksy.com/en-us/privacy-policy
32,Beauty Calculator Pretty Scale,Beauty,https://www.prettyscale.com/privacy/
33,Switch Natural,Beauty,https://switchpayments.com/privacy-policy/
34,Koko Face Yoga,Beauty,https://kokofaceyoga.com/pages/privacy-policy
35,Face AI:AI Face Swap,Beauty,https://www.faceplusplus.com/privacy-policy/
36,"WEBTOON: Manga, Comics, Manhwa",Comics,https://www.webtoons.com/en/terms/privacyPolicy
37,VIZ Manga,Comics,https://www.viz.com/privacy
38,GlobalComix: Comic Book Reader,Comics,https://globalcomix.com/privacy-policy
39,Alpha Manga: Read Isekai Manga,Comics,https://www.alpha-manga.com/privacy
40,Draw Cartoons 2,Comics,https://docs.google.com/document/d/1mbVsod0gwqWF3v12EFeR3UQ00ZihuMCBiQ3uSa1mNdk/edit
41,Discord,Communication,https://discord.com/privacy
42,Sideline: 2nd Phone Line App,Communication,https://www.sideline.com/privacy-policy/
43,Talkatone: Texting & Calling,Communication,https://www.talkatone.com/privacy/
44,Second Phone Number - 2Number,Communication,https://bpmob.com/sphonefree/privacy/en/
45,magicApp Calling & Messaging,Communication,https://www.magicjack.com/account/mjLandingpages.do?page=privacy
46,Tinder Dating App: Chat & Date,Dating,https://policies.tinder.com/privacy-2021-6-21/intl/en/
47,Badoo Dating App: Meet & Date,Dating,https://badoo.com/privacy/#
48,WooPlus: Curvy Dating App,Dating,https://www.wooplus.com/gdpr/
49,The League: Intelligent Dating,Dating,https://www.theleague.com/privacy-policy-en/#are-you-in
50,Flirtex: Live chat & dating,Dating,https://static.charminfinity.com/flirtex/privacy_policy.html
51,Duolingo: Language Lessons,Education,https://privacy.commonsense.org/privacy-report/duolingo
52,Yousician: Learn Guitar & Bass,Education,https://yousician.com/privacy-notice
53,Photomath,Education,https://photomath.com/privacy/
54,Kiddopia - Kids Learning Games,Education,https://kiddopia.com/privacy-policy.html
55,ELSA Speak: English Learning,Education,https://elsaspeak.com/en/privacy/
56,Disney+,Entertainment,https://privacy.thewaltdisneycompany.com/en/
57,ShortMax - Watch Dramas & Show,Entertainment,https://www.shorttv.live/privacy-policy.html
58,Viki: Asian Dramas & Movies,Entertainment,https://www.viki.com/legal/privacy
59,MiniShorts,Entertainment,https://api.snap-shorts.com/privacy_policy
60,"iQIYI - Drama, Anime, Show",Entertainment,https://www.iq.com/intl-common/international-privacyagreement.html?lang=en_us
61,Timeleft,Events,https://timeleft.com/privacy-policy/
62,Church Directory – Weaverland,Events,https://play.google.com/store/apps/datasafety?id=com.weatec.churchdir&hl=en_US
63,Day Counter. Count Up & Down,Events,https://app.websitepolicies.com/policies/view/wXZMyTBe
64,Wedding Guest List. WedGuest,Events,https://play.google.com/store/apps/datasafety?id=com.wedding.planner.guest.list&hl=en_US
65,Birthday Invitation,Events,http://birthday-invitation-wording.com/privacy-policy-earnings-disclaimer-terms-service/
66,Toca Boca World,Family,https://tocaboca.com/docs/privacy-policy
67,Avatar World Play,Family,https://avatarworldplay.com/privacy-policy/
68,Bebi: Baby Games for 2-4y kids,Family,https://bebi.family/en/about/privacy-policy
69,LogicLike: Kids learning games,Family,https://logiclike.com/en/docs/privacy
70,Super Simple - Kids Songs,Family,https://www.supersimple.io/legal/privacy
71,TradingView: Track All Markets,Finance,https://www.tradingview.com/privacy-policy/
72,Dovly: Grow your Credit Score,Finance,https://www.dovly.com/privacy-policy/
73,"SimplyWise: Receipts, Expenses",Finance,https://www.simplywise.com/privacy
74,Stocks To Buy Now : AI Signals,Finance,https://www.stockstobuynow.ai/posts/privacypolicy
75,Trade Signals - Stocks Options,Finance,https://sites.google.com/view/swingsignals/privacy-policy
76,NYT Cooking: Recipes & Tips,Food & Drink,https://www.nytcookingrecipes.com/privacy-policy/
77,Pick Up Limes,Food & Drink,https://www.pickuplimes.com/privacy
78,Meal Planner & Recipe Keeper,Food & Drink,https://www.recipekeeperonline.com/privacy
79,COOKmate - My recipe organizer,Food & Drink,https://www.cookmate.online/en/legal_notice/
80,Real Plans - Meal Planner,Food & Drink,https://realplans.com/privacy
81,Fitbit,Health & Fitness,https://support.google.com/product-documentation/answer/14815921
82,Headspace: Meditation & Sleep,Health & Fitness,https://www.headspace.com/privacy-policy
83,Geocaching®,Health & Fitness,https://www.geocaching.com/about/privacypolicy.aspx
84,Waking Up: Beyond Meditation,Health & Fitness,https://www.wakingup.com/privacy-policy
85,Bend: Stretching & Flexibility,Health & Fitness,https://www.thebendandstretch.com/privacypolicy
86,AlfredCamera Home Security app,House & Home,https://support.alfred.camera/hc/en-us/articles/360034522931-Privacy-Policy
87,Remote Control for All TV,House & Home,https://inston.ltd/privacypolicy.html?pkg=remote.control.tv.universal.forall.roku
88,Wuuk,House & Home,https://support.wuuklabs.com/hc/en-us/articles/16861075426073-Security-Privacy
89,Sweet Home 3D Mobile,House & Home,https://www.sweethome3d.com/privacy.jsp
90,AI Interior Design Home Decor,House & Home,https://sites.google.com/view/ai-room-planner-home-design/privacy-policy
91,App Cloner Premium & Add-ons,Libraries & Demo,https://appcloner.app/privacy/
92,Carplay Android auto sync,Libraries & Demo,https://play.google.com/store/apps/datasafety?id=com.findmybluetooth.wifi
93,Game Booster Fire GFX- Fix Lag,Libraries & Demo,https://play.google.com/store/apps/datasafety?id=com.booster.gameboostermega2&hl=en_US
94,Bluetooth Finder Wifi Connect,Libraries & Demo,https://doc-hosting.flycricket.io/bluetooth-finder-privacy-policy/7ebc8041-39bb-4839-ae48-633a96fc14b7/privacy
95,Biblia con lenguaje actual,Libraries & Demo,https://play.google.com/store/apps/datasafety?id=biblia.lenguaje.actual
96,Life360: Live Location Sharing,Lifestyle,https://life360-legal.zendesk.com/hc/en-us/articles/16038777217175-Life360-Privacy-Policy
97,eero wifi system,Lifestyle,https://eero.com/legal/privacy
98,Ti.Live-Live Stream&Chat,Lifestyle,https://www.ti.live/privacy.html
99,Nomi: AI Companion with a Soul,Lifestyle,https://nomi.ai/privacy-policy/
100,Purple Ocean Psychic Readings,Lifestyle,https://www.purpleocean.co/pages/privacy
101,Trucker Path: Truck GPS & Fuel,Maps & Navigation,https://truckerpath.com/privacy-policy/
102,Transit • Subway & Bus Times,Maps & Navigation,https://transitapp.com/privacy
103,A Better Routeplanner (ABRP),Maps & Navigation,https://www.iternio.com/terms-of-use
104,GOHUNT / Hunt Research & Maps,Maps & Navigation,https://www.gohunt.com/privacy
105,Escort Live Radar,Maps & Navigation,https://www.escortradar.com/pages/privacy-policy
106,epocrates,Medical,https://www.epocrates.com/privacy
107,Uptodate Lexidrug,Medical,https://www.wolterskluwer.com/en/privacy-cookies?compositeLink=%7B46302A17-3E91-4BBF-8FD3-B531B7188C08%7D
108,EMRA MobilEM,Medical,https://www.emra.org/about-emra/privacy-policy
109,Nursing Central,Medical,https://travelnursingcentral.com/privacy.php
110,Seizure Alert Wear3 - MMW,Medical,https://www.mymedicwatch.com/privacy-policy/
111,Pandora - Music & Podcasts,MUSIC & AUDIO,https://www.pandora.com/privacy
112,TuneIn Radio: Music & Sports,MUSIC & AUDIO,https://privacy.tunein.com/policies/en/?name=privacy-policy
113,Napster Music,MUSIC & AUDIO,https://www.napster.com/us/privacy/
114,Voloco: Auto Vocal Tune Studio,MUSIC & AUDIO,https://resonantcavity.com/privacy.html
115,Qobuz: Music & Editorial,MUSIC & AUDIO,https://community.qobuz.com/privacy-policy
116,The New York Times: Live News,News & Magazines,https://help.nytimes.com/hc/en-us/articles/10940941449492-The-New-York-Times-Company-Privacy-Policy
117,Police Scanner - Live Radio,News & Magazines,https://www.policescanner.us/policy.html
118,Reuters News,News & Magazines,https://www.thomsonreuters.com/en/privacy-statement.html
119,Readly Magazines & Newspapers,News & Magazines,https://us.readly.com/privacy
120,Milwaukee Journal Sentinel,News & Magazines,https://cm.jsonline.com/privacy
121,Find my kids: live GPS tracker,Parenting,https://findmykids.org/documents?docId=2
122,Family360 - GPS Live Locator,Parenting,https://www.family360locator.com/privacy-policy
123,HubbleClub By Hubble Connected,Parenting,https://hubbleconnected.com/pages/privacy
124,Eyezy – GPS Location Tracker,Parenting,https://www.eyezy.com/privacy-policy
125,My Family - Family Locator,Parenting,https://family-locator.com/privacy-policy/
126,Zedge™ Wallpapers & Ringtones,Personalization,https://help.zedge.net/hc/en-us/articles/360028821051-Privacy-Policy
127,Nova Launcher Prime,Personalization,https://novalauncher.com/privacy/
128,Fast Launcher,Personalization,https://sites.google.com/view/fastlauncher-policy
129,Cute Wallpapers Cool Wallpaper,Personalization,https://www.cutewallpapers.io/privacy-policy/
130,"Mirror: Emoji maker, Stickers",Personalization,https://www.mirror-ai.com/privacy
131,Photoroom AI Photo Editor,Photography,https://www.photoroom.com/legal/privacy
132,Photoshop Express Photo Editor,Photography,https://www.adobe.com/privacy/policy.html
133,PicCollage: Photo Grid Editor,Photography,https://picc.co/privacy/
134,MyMood AI: AI Photo Generator,Photography,https://www.mymoodai.app/privacy-terms62182755
135,MOVA - AI Hug Video & Filter,Photography,https://app.mova-ai.com/policy
136,Google One,Productivity,https://policies.google.com/privacy
137,Microsoft Word: Edit Documents,Productivity,https://www.microsoft.com/en-us/privacy/privacystatement
138,AI Chat・Ask Chatbot Assistant,Productivity,https://sites.google.com/view/aichathupp
139,ChatBox: AI Chat Bot Assistant,Productivity,https://chatboxai.app/en/privacy
140,"pdfFiller Edit, fill, sign PDF",Productivity,https://www.pdffiller.com/en/privacy-notice.htm
141,Amazon Shopping,Shopping,https://www.amazon.com/gp/help/customer/display.html
142,Our Groceries Shopping List,Shopping,https://www.ourgroceries.com/privacy
143,DROPS by SoleSavy - Sneakers,Shopping,https://solesavy.com/privacy-policy/
144,Parcels: Track Online Orders,Shopping,https://parcelsapp.com/en/privacy
145,Price Tracker: AnyTracker,Shopping,https://anytracker.org/privacy-policy
146,X,Social,https://x.com/en/privacy
147,Taimi - LGBTQ+ Dating & Chat,Social,https://taimi.com/privacy-policy
148,SuperLive- Live Stream & Chat,Social,https://www.superlivellc.com/privacy
149,Peachat - Live Video Chat,Social,https://peachat.mobi/privacy
150,MICO: Go Live Streaming & Chat,Social,https://www.micoworld.net/terms/privacy.html
151,onX Hunt: GPS Hunting Maps,Sports,https://www.onxmaps.com/privacy-policy
152,DAZN - Watch Live Sports,Sports,https://www.dazn.com/privacy-policy
153,Meet Mobile: Swim,Sports,https://www.activenetwork.com/information/privacy-policy
154,Action Network: Sports Tracker,Sports,https://www.actionnetwork.com/privacy
155,onX Backcountry Trail Maps GPS,Sports,https://www.onxmaps.com/privacy-policy
156,NordVPN – fast VPN for privacy,Tools,https://my.nordaccount.com/legal/privacy-policy/
157,Avast Antivirus & Security,Tools,https://www.avast.com/en-us/privacy-policy#pc
158,CT Pool,Tools,https://ctpool.net/en/privacy/
159,TiviMate Companion,Tools,https://tivimate-companion.com/privacy-policy/
160,Poke Genie -Remote Raid IV PvP,Tools,https://pokemongohub.net/privacy-policy/
161,Find my Phone - Family Locator,Travel & Local,https://life360-legal.zendesk.com/hc/en-us/articles/16038777217175-Life360-Privacy-Policy
162,Mobile Passport by Airside,Travel & Local,https://airsidemobile.com/privacy-policy/
163,Randonautica,Travel & Local,https://www.randonautica.com/terms-and-services
164,i-Boating:Marine Navigation,Travel & Local,https://www.gpsnauticalcharts.com/main/privacy-policy
165,FlightView: Flight Tracker,Travel & Local,https://www.flightview.com/privacy-policy/
166,CapCut - Video Editor,Video Players & Editors,https://www.capcut.com/clause/privacy-policy
167,TiviMate IPTV Player,Video Players & Editors,https://tivimateiptvplayer.info/privacy-policy/
168,Captions: For Talking Videos,Video Players & Editors,https://www.captions.ai/legal/privacy
169,AI Video Editor - Vidma AI Cut,Video Players & Editors,https://editor-res.vidma.com/ios/privacy_policy.html
170,Screen Mirroring - Cast to TV,Video Players & Editors,https://screenmirroring.app/privacy
171,The Weather Channel - Radar,Weather,https://weather.com/en-US/twc/privacy-policy
172,OpenSnow: Snow Forecast,Weather,https://opensnow.com/privacy
173,PredictWind - Marine Forecasts,Weather,https://www.predictwind.com/about-us/privacy-policy-2
174,Buoyweather - Marine Weather,Weather,http://www.buoyweather.com/privacy-policy
175,Today Weather:Data by NOAA/NWS,Weather,https://www.weather.gov/privacy/
